Uuid,Mappings|SAME-AS|OpenBoxes,Name,Concept Drug,Concept Dosage Form
75007c92-0e76-44d9-8adf-da1a571ba347,18238,"Bisoprolol fumarate, 10mg tablet",CIEL:72248,
219359c9-841e-48ec-bf13-a7d41819fbf9,12167,"Bisoprolol fumarate, 5mg tablet",CIEL:72248,
68111561-d633-4d6c-b0fb-ecadb08a7ecc,12887,"Bromocriptine mesilate, 2.5mg tablet",CIEL:72411,
1ca5c9f5-ea92-4f07-988e-80c2fed500d9,10208,"Bupivacaine hydrochloride, Hyperbaric/spinal solution for injection, 0.5% (5mg/mL), 4mL ampoule",CIEL:72506,
064fbb20-26e8-46e5-b95e-c4d9b9cfa562,18390,"Bupivacaine hydrochloride, Preservative free solution for injection,  0.5% (5mg/mL), 30mL vial",CIEL:72506,
34c1e7ab-80a7-489a-8eb7-074661b250b1,11154,"Bupivacaine hydrochloride, Solution for injection, 0.5% (5mg/mL), 20mL vial",CIEL:72506,
831dae75-ca02-4c20-955e-0ff62f2b5e67,11090,"Caffeine citrate, Solution for injection, 20mg/mL, 3mL ampoule",CIEL:72610,
46aadfce-b785-4989-9b0e-811238b9a775,11752,"Calamine, Skin lotion, 15%, 100mL bottle",CIEL:493,
83d526fd-c427-4995-a804-07e1a9631a34,12252,"Calamine, Skin lotion, 15%, 500mL bottle",CIEL:493,
c6a8df16-fce4-11e9-8f0b-362b9e155667,12741,"Calcium carbonate, 1177mg chewable tablet",CIEL:72660,
c6a8e66e-fce4-11e9-8f0b-362b9e155667,12503,"Calcium carbonate, 750mg chewable tablet",CIEL:72660,
e6b25c2c-6a34-49c5-9224-13b84cc7e6a5,10941,"Calcium folinate (Leucovorin), Solution for injection, 10mg/mL, 5mL vial",CIEL:78743,
78a5211c-c325-4602-90e0-fcf5a0101a9e,10362,"Calcium gluconate, Solution for injection, 100mg/mL (10%), 10mL ampoule",PIH:4035,
c6a8e948-fce4-11e9-8f0b-362b9e155667,18075,"Calcium lactate, 300mg tablet",CIEL:72686,
7134a5ba-2033-4833-a1ac-d256fd005932,11405,"Captopril, 25mg tablet",PIH:3182,
e371d811-d32c-4f6e-8493-2fa667b7b44c,11634,"Carbamazepine, 200mg film coated tablet",CIEL:72822,
05644010-a050-4ee6-9121-44c3953deb78,16247,"Carbetocin, Solution for injection, 100 micrograms/mL, 1mL ampoule",PIH:12253,
9939c5bd-aa24-4703-a146-aead0782862c,12742,"Carbimazole, 5mg tablet",CIEL:72848,
d809f82b-7612-4da2-b075-531f586bdd7c,11158,"Carvedilol, 12.5mg tablet",PIH:3185,
c6a8ea7e-fce4-11e9-8f0b-362b9e155667,12201,"Cefalexin, 250mg capsule",CIEL:73087,
4c908591-3adf-4601-b61c-4faddffbee56,10167,"Cefalexin, 500mg capsule",CIEL:73087,
fd576d2f-1472-47d8-b925-3cebeb5b1c44,10083,"Cefixime, 400mg film coated tablet",PIH:963,
88e7abe7-c50c-4b57-b1f2-121192e6209e,10860,"Cefotaxime sodium, Powder for solution for injection, 1 gram vial",CIEL:73019,
92cc3428-4e7c-425e-a60f-61ecd93f4fb9,13167,"Cefotaxime sodium, Powder for solution for injection, 500mg vial with solvent",CIEL:73019,
2379d0a0-e571-48ce-bbc2-a1ca7c1c0504,11278,"Ceftriaxone, Powder for solution for injection, 250mg vial",CIEL:73041,
b697554f-491b-4ad4-a259-bb2f4f1d16a3,10983,"Ceftriaxone, Powder for solution for injection, 1 gram vial",CIEL:73041,
199bd4a3-b4ab-4bcc-bb1d-52d4e270bf71,11541,"Cetirizine hydrochloride, 10mg tablet",CIEL:73137,
881f7515-f318-444d-821b-dd34cba5f9b6,10092,"Charcoal, Activated, Granules for oral suspension, 50 gram bottle",CIEL:70229,
57e41df2-d64c-4316-a4e4-35613bd36a35,11696,"Chloramphenicol sodium succinate, Powder for solution for injection, 1 gram vial",CIEL:73241,
a94cfca9-e230-4909-af46-106ef5034cac,10796,"Chloramphenicol, 250mg capsule",PIH:266,
d8283445-07f9-4af6-ac73-ffe4818a66b5,10613,"Chloramphenicol, Eye ointment, 1%, 5 gram tube",PIH:266,
203e9c50-ff86-44f7-8725-b8c5c475bd23,10910,"Chloramphenicol, Oral suspension, 25mg/mL, 100mL bottle",PIH:266,
fcd0306e-3195-4f8d-8b3d-6478b62a07cc,14577,"Chlorhexidine digluconate, Umbilical cord care solution, 7.1% (delivering 4% chlorhex.), 10mL bottle",CIEL:73265,
6ae937dd-d13a-4c8c-acbf-72c046f4dcf6,14391,"Chlorhexidine digluconate, Umbilical cord care solution, 7.1% (delivering 4% chlorhex.), 15mL bottle",CIEL:73265,
f2f89339-e21f-49b3-8fa8-a28a496d5723,12365,"Chlorhexidine gluconate, 5% concentrated solution, 1L bottle",CIEL:73265,
c6a8eba0-fce4-11e9-8f0b-362b9e155667,12335,"Chlorphenamine maleate, 4mg tablet",PIH:913,
64cee8e6-3263-49c7-b622-9b95eff36b43,12312,"Chlorpromazine hydrochloride, 100mg film coated tablet",CIEL:73331,
6a2a96d1-c01f-48d3-b3b9-2741bce4e064,10438,"Chlorpromazine hydrochloride, 25mg film coated tablet",CIEL:73331,
526d37fd-d378-441d-8af4-423a46447cbc,12163,"Chlorpromazine hydrochloride, Solution for injection, 25mg/mL, 2mL ampoule",CIEL:73331,
cf3475bc-b3d7-4b37-b30f-aca93cdc81c7,10385,"Cimetidine, 200mg tablet",CIEL:73419,
24340814-16d2-430a-996f-ae49fc906110,11315,"Cimetidine, Solution for injection, 100mg/mL, 2mL ampoule",CIEL:73419,
2a885fd0-f8c9-43fb-883b-fe25d5769338,10346,"Ciprofloxacin, 500mg film coated tablet",CIEL:73449,
c6a8ecb8-fce4-11e9-8f0b-362b9e155667,12160,"Ciprofloxacin, Solution for infusion, 2mg/mL, 100mL polypropylene infusion bag",CIEL:73449,
bd0adf3e-11f1-4dfd-8a18-be651c8c2599,12671,"Citalopram, 20mg tablet",CIEL:73461,
f90d02b1-4f09-4ab7-af81-24a2318ea782,11306,"Clindamycin hydrochloride, 150mg capsule",CIEL:73547,
49a07032-9fe2-4c49-958e-97c3ada8e223,10059,"Clindamycin phosphate, Solution for injection, 150mg/mL, 4mL ampoule",CIEL:73550,
8d7c8333-43f2-4e81-9923-14cdd790dcc3,11768,"Clopidogrel, 75mg film coated tablet",CIEL:73602,
b3bd154a-2f64-451a-bde4-f38be72b72ce,11779,"Clotrimazole, 500mg vaginal tablet with applicator",PIH:960,
5e11cd96-3277-4a74-968e-1aa3d3312e6c,11811,"Clotrimazole, Skin cream, 1%, 20 gram tube",PIH:960,
9b522f67-2486-455b-ad73-e84182733504,12371,"Cloxacillin sodium, Powder for solution for injection, 500mg vial",CIEL:73629,
6280e6c2-03e7-4d79-aede-bc61ceaf4185,10279,"Cloxacillin, 500mg capsule",PIH:922,
7e342f10-b26f-4ec2-a22c-09bd1429d203,11747,"Condom, Male, Latex, with lubricant",CIEL:190,
85153088-b868-4723-aacd-27f25f121685,11774,"Cotrimoxazole (Sulfamethoazxole/Trimethoprim), 800mg/160mg tablet",CIEL:105281,
c6a8edda-fce4-11e9-8f0b-362b9e155667,12302,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), 100mg/20mg tablet",CIEL:105281,
54972d88-156e-465e-8483-9a9e97d5898f,12186,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), 400mg/80mg tablet",CIEL:105281,
b3910fb7-2b17-44e6-8a52-8543af46c935,10131,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), Oral suspension, 40mg/mL + 8mg/mL, 100mL bottle",CIEL:105281,
7e35185d-5465-4277-b7f4-945d8d361faa,11594,"Cotrimoxazole (Sulfamethoxazole/Trimethoprim), Solution for injection, 80mg/mL + 16mg/mL, 5mL amp",CIEL:105281,
e3c1533d-d1d3-4bdb-9a49-2095880197dd,11730,"Cyanocobalamin (Vitamin B12), Solution for injection, 1mg/mL, 1mL ampoule",CIEL:86340,
a114a69a-3b5b-4d39-a4ea-e6a28b90f80f,12313,"Dantrolene sodium, Lyophilized powder for solution for injection, 20mg vial",CIEL:74246,
6d8e4b12-7688-4d58-972d-41ffb2cd62c0,10890,"Dapsone, 100mg tablet",CIEL:74250,
abc4ad79-bf56-46e3-b945-0762e0d3d491,10231,"Dexamethasone sodium phosphate, Eye drop, 0.1%, 5mL bottle",PIH:4036,
c08f2263-d176-4815-910f-d4d030bb5c40,11083,"Dexamethasone sodium phosphate, Solution for injection, 4mg/mL, 1mL ampoule",PIH:4036,
0c72529a-daa1-433c-bd3c-573d0ed4a61e,21176,"Dexamethasone sodium phosphate, Solution for injection, 4mg/mL, 2mL vial",CIEL:74614,
bc357307-6820-4e63-b236-2b53e4a714ea,13168,"Dexamethasone, 2mg tablet",CIEL:74609,
399834b1-b44b-11e3-a5e2-0800200c9a66,12208,"Dexamethasone, 4mg tablet",CIEL:74609,
11341840-45ed-476b-8deb-eb3eafb8235f,12210,"Dexamethasone, 500 microgram tablet",CIEL:74609,
e412db6c-f58e-4c9e-abe6-4dac164fe525,10599,"Dextrose (Glucose), Hypertonic solution for injection, 50% (500mg/mL), 50mL vial",CIEL:104745,
f22d17a9-c4d6-4556-8637-c9bbca0de54e,17878,"Dextrose, Hypertonic solution for injection, 10% (100mg/mL), 10mL ampoule",CIEL:161922,
c6a91df0-fce4-11e9-8f0b-362b9e155667,12209,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 1000mL nipple head bottle",CIEL:162857,
e173afee-7e6f-480a-8cff-9e87fe04c547,21403,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 1000mL flex bag with additive port",CIEL:162857,
843b0d53-579b-45a6-9a9a-3b9024c7cfe9,11886,"Dextrose 5% in Sodium chloride 0.9%, Intravenous infusion, 500mL nipple head bottle",CIEL:162857,
7b041f38-24cf-4f3b-ae97-6d17a2b5f864,11553,"Dextrose 5% in water, Intravenous infusion, 500mL nipple head bottle",CIEL:161250,
64fdf6f7-7bd9-49e5-bc10-629ed6fc3b0e,10961,"Dextrose 5% in water, Intravenous infusion, 500mL twin port bag/bottle",CIEL:161250,
e44a4246-603d-4e9b-b260-c39afc51df33,21363,"Dextrose 5% in water, Intravenous infusion, 1000mL twin port bag/bottle",CIEL:161250,
09c8cd20-3d4f-45bb-8192-b8d14b7f7fb6,10129,"Dextrose, 10% Intravenous infusion, 500mL flex bag with additive port",CIEL:161922,
a4f859c4-2962-457d-b63a-175b43472393,21402,"Dextrose 10% in water, Intravenous infusion, 500mL nipple head bottle",CIEL:161922,
54050882-524f-46c2-b898-d514ee633ab0,10737,"Dextrose, 5% Intravenous infusion, 1000mL plastic bottle, PVC free",CIEL:161250,
39d7a7ee-b0ff-48e0-a7ca-685688147c8f,10873,"Diazepam, 5mg tablet",PIH:247,
923e3e90-8b5c-4ae6-b17f-b6d547803437,10664,"Diazepam, Solution for injection, 5mg/mL, 2mL vial",PIH:247,
c6a8f6cc-fce4-11e9-8f0b-362b9e155667,12244,"Diclofenac sodium, 50mg enteric coated tablet",CIEL:74782,
b5f01af3-b4c0-45f6-bbd7-aa2e9e846987,10854,"Diclofenac sodium, Solution for injection, 25mg/mL, 1mL ampoule",CIEL:74782,
b46c6f06-3ea1-46cd-a6e9-70855d950916,20824,"Diclofenac sodium, Solution for injection, 25mg/mL, 3mL ampoule",CIEL:74782,
aa0d0f51-d60e-4118-8121-10194a640589,10574,"Digoxin, 250 microgram tablet",CIEL:74860,
91e556b3-e7f0-4a65-b994-fc56f09bf768,10937,"Digoxin, Solution for injection, 250 microgram/mL, 2mL ampoule",CIEL:74860,
81694757-3336-4195-ac6b-ea574b9b8597,11758,"Diphenhydramine hydrochloride, 25mg tablet",CIEL:75018,
b476d417-800f-4e2e-89ec-09de8fd07607,10141,"Diphenhydramine hydrochloride, Solution for injection, 50mg/mL, 1mL ampoule",CIEL:75018,
019e2cdc-7526-4165-b1b4-59400c421e68,11497,"Dopamine hydrochloride, Solution for injection, 40mg/mL, 5mL ampoule",CIEL:75178,
50d19d57-0387-43f8-afda-c45207a0fbb8,12369,"Doxazosin mesylate, 2mg tablet",CIEL:75209,
8aad2a23-2977-4b5b-a30a-4a9142ce774b,11089,"Doxycycline, 100mg tablet",PIH:95,
78f97b9c-dfbe-11e9-8a34-2a2ae2dbcce4,11615,"Efavirenz (EFV), 200mg tablet",CIEL:75523,
78f96210-dfbe-11e9-8a34-2a2ae2dbcce4,10288,"Efavirenz (EFV), 600mg tablet",CIEL:75523,
9765afdc-310d-41fb-a09f-be9a581b0d75,12755,"Emtricitabine (FTC) 200mg + Tenofovir disoproxil fumarate (TDF) 245mg tablet",CIEL:104567,
62332d29-ea48-44e9-9329-c89d03ea64f7,12393,"Enalapril maleate, 10mg tablet",CIEL:75634,
4efe3f48-2656-4178-bfcd-c6d103851084,11095,"Enalapril maleate, 5mg tablet",CIEL:75634,
ee52c057-9a1a-48da-8ca2-d3c7b0808474,11611,"Enoxaparin, Solution for injection, 10,000 IU (100mg/mL), 1mL pre-filled syringe",CIEL:75687,
134e3d9c-18fe-40c0-8f0e-229af4988a94,12679,"Enoxaparin, Solution for injection, 8,000 IU (80mg/0.8mL), 0.8mL pre-filled syringe",CIEL:75687,
2cdcca8a-fc25-4955-b7c2-3bf32646593b,20765,"Entecavir, 500 microgram tablet",CIEL:75694,
4f82d4b0-4999-443c-9a32-a4c1cb22eb44,16092,"Enteral nutrition, 1-1.5kcal/mL, High protein, Adult, 250mL",CIEL:165950,
1dd4834a-e86d-4de0-8eb9-91a8b08bf02f,10561,"Ephedrine hydrochloride, Solution for injection, 30mg/mL, 1mL ampoule",CIEL:75722,
82f4f009-d17b-44c9-b42b-0e080fda0572,10149,"Ergometrine maleate, 500 microgram, tablet",CIEL:75801,
c6a8fb2c-fce4-11e9-8f0b-362b9e155667,12307,"Erythromycin stearate, 250mg film coated tablet",CIEL:75847,
1ff620f2-f9c7-4fcd-8a52-6f02b1167563,11272,"Erythromycin, Powder for oral suspension, 125mg/5mL, 100mL bottle",CIEL:75842,
3026603f-bf52-44c2-b322-5753d0e654bc,10957,"Fentanyl citrate, Solution for injection, 50 microgram/mL, 2mL ampoule",CIEL:76273,
33ec6eca-1f62-4ebc-acea-f5524c2b4f40,10713,"Ferrous sulfate 200mg + folic acid 250 microgram tablet",CIEL:773,
4108e268-44c2-4c27-9cc7-114ed6dbd75c,13170,"Ferrous sulfate, 200mg (eq. 65mg elemental Fe) + folic acid 400 microgram tablet",CIEL:773,
15413c3c-33ad-4af2-a492-042e51502e62,12322,"Ferrous sulfate, 200mg (eq. 65mg elemental Fe) tablet",CIEL:76342,
74f565ce-c515-41b2-bbd4-29fc6416231b,11397,"Fluconazole, 200mg capsule",PIH:747,
cf0037b9-f5a9-4f39-a287-a3e09f02557b,10711,"Fluconazole, Powder for oral suspension, 10mg/mL, 35mL bottle",PIH:747,
ed2113de-4d20-41bb-b0b3-fa87e6d69944,12610,"Fluconazole, Solution for infusion, 2mg/mL, 100mL vial",CIEL:76488,
15c88f63-65fa-45c2-8f64-65dff9636202,10478,"Flumazenil, Solution for injection, 100 microgram/mL, 5mL ampoule",CIEL:76500,
7f7178bd-a1f8-44dd-85a9-02e49065e56b,11473,"Fluoxetine hydrochloride, 20mg scored tablet",CIEL:76553,
7b8ea0bf-e023-4238-bbbd-aaf4429be631,13795,"Flupenthixol (Oily) decanoate, Solution for depot injection, 20mg/mL, 1mL ampoule",CIEL:76556,
fd58488b-b6ee-4a73-bf77-ab1eb44ec0b7,12357,"Fluphenazine (Oily) decanoate, Solution for depot injection, 25mg/mL, 1mL ampoule",CIEL:76558,
70f1bf74-67df-4fe5-a043-a4202136c6e4,20856,"Fluphenazine, 10mg tablet",CIEL:76558,
37762747-7a31-4788-a408-b7a3cb350806,20857,"Fluphenazine, 2.5mg tablet",CIEL:76558,
6241e56b-ec9c-4c5b-a79c-1ce6481b1acb,10370,"Folic acid, 5mg tablet",PIH:257,
69e40ed3-d1f0-43d1-8b91-423cf7daf087,14044,"Furosemide, 20mg tablet",CIEL:76734,
fb5842a2-60ef-4539-b428-f99a1f76c85f,10892,"Furosemide, 40mg tablet",CIEL:76734,
2e454fbe-99f4-491f-9a89-9107c3293974,11383,"Furosemide, Solution for injection, 10mg/mL, 2mL ampoule",CIEL:76734,
d7628d7f-82ba-4cbd-a443-e4dc688ce303,15791,"Furosemide, Solution for injection, 10mg/mL, 4mL ampoule",CIEL:76734,
399c70e3-5a87-445a-9370-1d8ae081c424,11799,"Gabapentin, 400mg capsule",CIEL:76750,
a9330ce0-7369-41ea-98c7-1cda24a2afa2,11460,"Gentamicin sulfate, Eye and Ear drop, 0.3%, 10mL bottle",CIEL:76942,
b09cd1eb-b44d-40ca-af48-49c373c408ea,10120,"Gentamicin, Solution for injection, 40mg/mL, 2mL ampoule",PIH:100,
5c21704a-6268-4854-845d-55c573bed967,10933,"Glibenclamide, 5mg tablet",PIH:4046,
066f6da7-0368-4d24-a4ad-41edde5880a9,16168,"Glycopyrronium (Glycopyrrolate) bromide, Solution for injection, 200 microgram/mL, 1mL amp/vial",CIEL:77083,
280353a2-3da7-480b-ab58-03dcd401d3ff,10049,"Griseofulvin, 500mg tablet",PIH:3679,
73813726-3e82-4230-87dd-25dc963579b6,10278,"Haemorrhoid relief, Rectal ointment, 30 gram tube",CIEL:162167,
671d7b24-6266-4af5-a998-4997f2cd6d48,12567,"Haloperidol (Oily) decanoate, Solution for depot injection, 50mg/mL, 1mL ampoule",CIEL:77336,
23f2d94b-3072-4e86-b737-d5ccded81bc0,11724,"Haloperidol, 5mg tablet",CIEL:77335,
a8541367-1eb0-4144-9cc7-41a909902d5d,10392,"Haloperidol, Solution for injection, 5mg/mL, 1mL ampoule",CIEL:77335,
95c75f93-5b3b-4ca6-93d5-9d0db0130f20,12361,"Halothane, Inhalation liquid, 250mL bottle",CIEL:77343,
8482efcf-1c22-448e-8fa4-60fd1cb0f45f,13074,"Hepatitis B, Vaccine, rDNA, Adult (20 microgram dose), 1mL monodose vial (1 dose)",CIEL:782,
2ff6dfce-cd7e-4a1c-9916-f398c4aaec1f,10373,"Hydralazine hydrochloride, 25mg tablet",CIEL:77676,
096dae85-9eee-466b-b059-9f5dd13af242,11190,"Hydralazine hydrochloride, Powder for solution for injection, 20mg vial/amp",CIEL:77676,
ce857097-f7a1-4178-b018-a8067a5710d1,10579,"Hydrochlorothiazide (HCT), 25mg tablet",PIH:1243,
a811008f-05fd-4f30-b50c-4d3636472db5,11632,"Hydrocortisone acetate, Skin cream, 1%, 15 gram tube",CIEL:77719,
c6a8fca8-fce4-11e9-8f0b-362b9e155667,12390,"Hydrocortisone, Preservative free powder for solution for injection, 100mg vial",CIEL:77719,
68f687c0-2875-4934-a060-825be42943e2,11136,"Hydrogen peroxide, 3%, 500mL bottle",PIH:313,
8535b93e-cacf-4de2-bf42-84abf8e72782,10724,"Hydroxycarbamide, 500mg capsule",CIEL:77795,
8f2d1a7e-4ddb-4805-bf7e-1fb765592124,11380,"Hyoscine butylbromide, 10mg film coated tablet",CIEL:431,
1200cf31-e084-4228-9d87-efcb103ea7f9,14633,"Hyoscine butylbromide, Solution for injection, 10mg/mL, 1mL ampoule",CIEL:431,
9cfb1288-2db4-4ca6-b3f8-da4d85058e42,10739,"Hyoscine butylbromide, Solution for injection, 20mg/mL, 1mL ampoule",CIEL:431,
c6a8fdfc-fce4-11e9-8f0b-362b9e155667,12367,"Ibuprofen, 200mg tablet",PIH:912,
36e09631-e6d8-41c9-92d2-c945750a39b9,10282,"Ibuprofen, 400mg tablet",PIH:912,
49f646b5-c9a3-47e7-9fc2-bb187673b838,10534,"Ibuprofen, Oral solution, 20mg/mL, 100mL bottle",PIH:912,
523dad76-c970-4e58-a2cb-dd9117fdefa6,10172,"Immunoglobulin (Human), Anti-D, 300 microgram (1,500 IU)/2mL prefilled syringe",CIEL:83322,
c6a90a72-fce4-11e9-8f0b-362b9e155667,11574,"Infant formula, 0-6 months, Powder, 400 gram tin",CIEL:5254,
1f020764-3ae2-49e6-b234-9403ec91c921,24452,"Infant formula, Powder, 0-12 months, 20 cal/fl oz, 352 gram (12.4oz) can (Similac Advance)",CIEL:5254,
71b2a8f7-10cd-4731-9bc1-a5d3c72755a9,24451,"Infant formula, Powder, Premature, 22 cal/fl oz, High protein, 646 gram (22.8oz) can (Similac NeoSure)",CIEL:5254,
